employee_id,employee_name,hire_date,branch_id,coach,target_ratio,rate,status,termination_date,termination_reason,employee_type,labour_category,partner
10000,Michael Clark,2023-01-01,1-70,Michelle Navarro,85,220,Terminated,2023-11-01,Dismissal,Permanent - Salary,Engineering & Technical,0
10001,Matthew Murray,2015-01-01,1-80,Ian Jackson,75,405,Active,,,Permanent - Salary,Engineering & Technical,0
10002,Peter Bray,2016-05-01,1-65,Kathy Yoder,75,400,Active,,,Permanent - Salary,Engineering & Technical,1
10003,Nancy Castaneda,2005-05-01,1-40,Dawn Burns,85,330,Active,,,Permanent - Hourly,Engineering & Technical,0
10004,Christopher Schmidt,2006-10-01,1-70,Michael Neal,85,355,Active,,,Permanent - Salary,Engineering & Technical,0
10005,Kyle Stephenson,2010-04-01,1-00,Fernando Hernandez,0,310,Active,,,Permanent - Salary,Administration Finance & HR,0
10006,Kellie Smith,2012-09-01,1-30,Joel Carroll,70,370,Active,,,Permanent - Salary,Planning,1
10007,Cheyenne Ward,2017-02-01,1-10,Unknown,75,290,Active,,,Permanent - Salary,Engineering & Technical,0
10008,Angel Petersen,2020-03-01,1-00,Fernando Hernandez,0,235,Active,,,Permanent - Salary,Administration Finance & HR,0
10009,David Jordan,2020-06-01,1-00,Fernando Hernandez,0,310,Active,,,Permanent - Salary,Administration Finance & HR,0
10010,Brian Clements,2022-05-01,1-60,Lori Harding,90,205,Active,,,Temporary - Other Hourly,Project Management & Consulting,0
10011,Kimberly Ellis,2021-05-01,1-10,Fernando Hernandez,0,325,Active,,,Permanent - Salary,Communications IT & Design,0
10012,Andrew Stevenson,2022-04-01,1-40,Danielle Martinez,75,455,Active,,,Permanent - Salary,Planning,0
10013,Anthony Harrington,2022-08-01,1-60,William Burke,90,295,Active,,,Permanent - Salary,Engineering & Technical,0
10014,Stacy Carson,2023-05-01,1-20,Ian Berry,80,190,Active,2023-12-01,Voluntary,Temporary - Other Hourly,Engineering & Technical,0
10015,Brandy Smith,2023-05-01,1-10,Kimberly Garcia,80,220,Active,,,Permanent - Salary,Engineering & Technical,0
10016,Mariah Manning,2024-03-01,1-60,John Ortega,80,275,Active,,,Permanent - Salary,Project Management & Consulting,0
10017,Heather Rodriguez,2024-04-01,1-15,Kevin Rivera,85,225,Active,,,Permanent - Salary,Engineering & Technical,0
10018,Sabrina Dominguez,2024-04-01,1-62,Harold Buckley,85,220,Active,,,Permanent - Salary,Engineering & Technical,0
10019,Chelsea Smith,2011-04-01,1-65,Joel Carroll,50,485,Active,,,Permanent - Salary,Planning,0
