project_key,branch_id,project_leader,project_coordinator,project_type,status,source
100000,1-35,Lisa Shah,Jessica Key,Planning,Active,RFP
100001,1-80,Christina Cordova,Richard Hogan,Planning,Active,Sole Source
100002,1-20,Barbara Carter,Mark Livingston,General Services,Active,Sole Source
100003,1-70,Denise Thompson,Jason Jackson,Infrastructure / Engineering,Active,Sole Source
100004,1-70,Dana Davis,Christine Rubio,Planning,Active,Sole Source
100005,1-10,Makayla Campbell,Mary White,Water & Wastewater,Active,Sole Source
100006,1-61,Elijah Barnes,Paul Macias,Transportation,Active,Sole Source
100007,1-70,Dana Davis,Christine Rubio,Planning,Active,Sole Source
100008,1-40,Andrew Stevenson,Carol Ferrell,Planning,Active,Sole Source
100009,1-40,Manuel Williams,Gregory Cruz,General Services,Active,Sole Source
100010,1-40,Andrew Stevenson,Carol Ferrell,Planning,Active,Sole Source
100011,3-20,Cody Stephens,Mark Livingston,Survey - Legal,Active,Sole Source
100012,1-40,Andrew Stevenson,Carol Ferrell,Planning,Active,Sole Source
100013,1-40,Andrew Stevenson,Carol Ferrell,Planning,Active,Sole Source
100014,3-40,Theresa Kennedy,Denise Lane,Survey - Legal,Inactive,Sole Source
100015,1-60,Darren Lewis,Brittany Glass,Water & Wastewater,Active,Sole Source
100016,1-40,Frederick Brewer,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
100017,1-70,Sean Rogers,Jason Jackson,Planning,Active,Sole Source
100018,1-35,Nathan Ford,Jessica Key,Transportation,Active,Sole Source
100019,1-40,Greg Wright,Gregory Newman,Stormwater,Active,Sole Source
100020,1-40,Chelsea Ramos,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
100021,1-40,Julie Taylor MD,Gregory Newman,Land Development,Active,Sole Source
100022,1-40,Frederick Brewer,Carol Ferrell,Infrastructure / Engineering,Active,Sole Source
100023,1-10,Priscilla Gonzalez,Mary White,Water & Wastewater,Active,Sole Source
100024,1-80,Kayla Williams,Rebecca Hall,Planning,Active,Sole Source
100025,1-40,Manuel Williams,Gregory Cruz,Landscape Architecture,Active,Sole Source
100026,1-40,Brandon Hampton,Carol Ferrell,Land Development,Active,Sole Source
100027,1-40,Greg Wright,Carol Ferrell,General Services,Active,Sole Source
100028,1-61,Donald Ryan,Paul Macias,Economic Development,Active,Sole Source
100029,1-40,Melissa Maldonado,Gregory Cruz,Land Development,Active,Sole Source
100030,1-70,Kurt Schmitt,Joseph Johnson,Water & Wastewater,Inactive,RFP
100031,1-10,Cynthia Benton,Amber Marshall,Infrastructure / Engineering,Active,Sole Source
100032,1-30,Samantha Day,Kimberly Abbott,Environmental,Active,Sole Source
100033,1-60,Brittany Watson,Helen Jenkins,Transportation,Active,Sole Source
100034,1-61,Mrs. Diane Melendez,Paul Macias,Environmental,Active,RFP
100035,1-40,Deborah Le,Alison Sanders,Transportation,Active,RFP
100036,1-62,Zoe Michael,Rebecca Hall,Planning,Active,RFP
100037,1-60,Benjamin Howard,Brittany Glass,Infrastructure / Engineering,Active,Sole Source
100038,5-10,Anna Melton,James Zimmerman,Urban Matters,Active,RFP
100039,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Active,Sole Source
100040,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Active,Sole Source
100041,3-40,Theresa Kennedy,Carol Ferrell,Survey - Legal,Active,Sole Source
100042,1-70,Stephanie Murphy,Christine Rubio,Water & Wastewater,Active,Sole Source
100043,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100044,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100045,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100046,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100047,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100048,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100049,1-10,Christopher Williams,Mary White,Infrastructure / Engineering,Active,Sole Source
100050,1-10,Cynthia Benton,Amber Marshall,Water & Wastewater,Active,Sole Source
100051,1-10,Cynthia Benton,Amber Marshall,Water & Wastewater,Active,Sole Source
100052,1-60,Madeline Frank,Brittany Glass,Strategic Services,Active,Sole Source
100053,1-40,Frederick Brewer,Carol Ferrell,Planning,Active,Sole Source
100054,1-40,Frederick Brewer,Carol Ferrell,Planning,Inactive,Sole Source
100055,1-20,Patricia Garcia,Mark Livingston,Infrastructure / Engineering,Active,Sole Source
100056,1-20,Leslie Rodriguez,Zachary Johnson,General Services,Active,Sole Source
100057,1-70,Jacob Wilson,Christine Rubio,Planning,Active,Sole Source
100058,1-70,Mark Rivera,Christine Rubio,Transportation,Active,Sole Source
100059,1-70,Dennis Thompson,Christine Rubio,Planning,Active,Sole Source
100060,1-40,Julie Taylor MD,Gregory Newman,Land Development,Active,Sole Source
100061,1-40,Julie Taylor MD,Gregory Newman,Land Development,Active,Sole Source
100062,1-10,Jocelyn Case,Eric Moore,GIS,Active,RFP
100063,1-40,Frederick Brewer,Carol Ferrell,Planning,Inactive,Sole Source
100064,1-10,William Shah,Eric Moore,Planning,Active,Sole Source
100065,1-40,Christopher Parker,Gregory Newman,Planning,Active,Sole Source
100066,1-40,Christopher Parker,Gregory Newman,Planning,Active,Sole Source
100067,3-40,Teresa Wallace,Carol Ferrell,Survey - Legal,Active,Sole Source
100068,1-40,Kimberly King,Carol Ferrell,Environmental,Active,Sole Source
100069,1-40,Christopher Parker,Gregory Newman,Planning,Active,Sole Source
100070,1-10,Jerome Carney,Lisa Thomas,Transportation,Inactive,Sole Source
100071,1-40,Deborah Le,Gregory Newman,Infrastructure / Engineering,Active,Sole Source
100072,1-60,Ms. Heather Fields,Helen Jenkins,Strategic Services,Active,Sole Source
100073,1-20,Jaclyn Thomas,Zachary Johnson,General Services,Active,Sole Source
100074,1-80,Jessica Chen,Richard Hogan,Water & Wastewater,Active,Sole Source
100075,1-40,Tracy Young,Gregory Newman,Planning,Active,Sole Source
100076,1-20,Jaclyn Thomas,Zachary Johnson,General Services,Active,Sole Source
100077,1-35,Alyssa Marquez,Jessica Key,Strategic Services,Active,Sole Source
100078,1-35,Alyssa Marquez,Jessica Key,Strategic Services,Active,Sole Source
100079,5-10,Cody Johnston,James Zimmerman,Urban Matters,Active,Sole Source
100080,1-40,Nicholas Anderson,Gregory Newman,Water & Wastewater,Inactive,Sole Source
100081,1-30,Gary Jackson,Kimberly Abbott,Planning,Active,Sole Source
100082,1-70,Stephanie Herrera,Joseph Johnson,Water & Wastewater,Active,Sole Source
100083,1-60,Madeline Frank,Brittany Glass,Strategic Services,Active,Sole Source
100084,1-40,Yvette Henderson,Denise Lane,Planning,Active,Sole Source
100085,1-10,Lisa Gardner,Lisa Thomas,Transportation,Active,Sole Source
100086,1-40,Chelsea Ramos,Carol Ferrell,Land Development,Inactive,Sole Source
100087,1-70,Kurt Schmitt,Joseph Johnson,Water & Wastewater,Active,RFP
100088,1-60,Mark Schwartz,Brittany Glass,Infrastructure / Engineering,Active,Sole Source
100089,1-30,Shannon Payne,Kurt Smith,Planning,Inactive,RFP
100090,1-30,Shannon Payne,Kurt Smith,Planning,Inactive,RFP
100091,1-40,Kevin Mitchell,Gregory Cruz,Planning,Active,Sole Source
100092,1-15,Deborah Hoover,Christopher Jones,Infrastructure / Engineering,Active,Sole Source
100093,1-40,Brandi Hunt,Carol Ferrell,Planning,Active,Sole Source
100094,1-40,Steven Schroeder,Gregory Newman,Water & Wastewater,Active,Sole Source
100095,1-62,Veronica Romero,Rebecca Hall,Planning,Active,Sole Source
100096,1-20,Gabriella Davila,Yolanda Delgado,Planning,Active,Sole Source
100097,1-10,Jerome Carney,Lisa Thomas,Transportation,Active,Sole Source
100098,1-70,Christopher Brooks,Jason Jackson,Asset Management,Active,Sole Source
100099,1-70,Rick Wood,Joseph Johnson,Infrastructure / Engineering,Active,Sole Source
100100,1-20,Austin Alexander DDS,Zachary Johnson,General Services,Inactive,Sole Source
100101,1-60,Sean Watkins,George Salazar,Landscape Architecture,Active,Sole Source
100102,1-70,Morgan Boone,Joseph Johnson,Water & Wastewater,Inactive,Sole Source
100103,1-70,Morgan Boone,Joseph Johnson,Water & Wastewater,Active,Sole Source
100104,1-10,Lisa Gardner,Lisa Thomas,Transportation,Active,Sole Source
100105,1-10,Lisa Gardner,Lisa Thomas,Transportation,Active,Sole Source
100106,1-10,Lisa Gardner,Lisa Thomas,Transportation,Active,Sole Source
100107,1-60,Joseph Hebert,Brittany Glass,Strategic Services,Active,Sole Source
100108,1-40,Brandon Hampton,Carol Ferrell,Land Development,Active,Sole Source
100109,1-30,Melanie Yoder,Kimberly Abbott,Transportation,Active,Sole Source
100110,1-40,Brandi Hunt,Carol Ferrell,Planning,Active,Sole Source
100111,1-20,Randy Baker,Yolanda Delgado,Asset Management,Active,RFP
100112,1-40,Jonathan Hill,Denise Lane,Land Development,Active,Sole Source
100113,1-35,Sophia Phillips,Jessica Key,Infrastructure / Engineering,Active,Sole Source
100114,1-35,Lisa Shah,Jessica Key,Planning,Active,RFP
100115,1-40,Veronica Murphy,Gregory Newman,Water & Wastewater,Inactive,Sole Source
100116,1-70,Christopher Brooks,Jason Jackson,Asset Management,Active,Sole Source
